date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2015-09-11 23:28:38,ShaneBreen,,0,0,0,"Weekend Roundup: Refugees Redefine Europe : America was once regarded as a welcoming immigr... http:// huff.to/1iDrw3V via @HuffingtonPost",,@HuffingtonPost,,642479894581018625,https://twitter.com/ShaneBreen/status/642479894581018625
2015-09-11 23:28:36,th_mdm,,0,0,0,"Weekend Roundup: Refugees Redefine Europe http:// huff.to/1iDnZCX #Technology",,,#Technology,642479886418907136,https://twitter.com/th_mdm/status/642479886418907136
2015-09-11 23:28:35,mrkoolodo,,0,0,0,"Weekend Roundup: Refugees Redefine Europe : America was once regarded as a welcoming immigrant nation where rac... http:// huff.to/1iDnZCX",,,,642479883138928640,https://twitter.com/mrkoolodo/status/642479883138928640
2015-09-11 23:28:20,kislttaer,,0,0,0,"Europe should expect 'millions and millions' more refugees from Syria #news",,,#news,642479820140482561,https://twitter.com/kislttaer/status/642479820140482561
2015-09-11 23:28:20,kunetsyiral,,0,0,0,"Europe should expect 'millions and millions' more refugees from Syria #news",,,#news,642479820132122624,https://twitter.com/kunetsyiral/status/642479820132122624
2015-09-11 23:28:20,OnlineNovosti,,0,0,0,"Europe should expect 'millions and millions' more refugees from Syria #news",,,#news,642479820111130624,https://twitter.com/OnlineNovosti/status/642479820111130624
2015-09-11 23:28:20,luiagais,,0,0,0,"Europe should expect 'millions and millions' more refugees from Syria #news",,,#news,642479819947556864,https://twitter.com/luiagais/status/642479819947556864
2015-09-11 23:28:20,NewsPrimeTV,,0,0,0,"Europe should expect 'millions and millions' more refugees from Syria #news",,,#news,642479819809165312,https://twitter.com/NewsPrimeTV/status/642479819809165312
2015-09-11 23:28:20,ayhedmasyee,,0,0,0,"Europe should expect 'millions and millions' more refugees from Syria #news",,,#news,642479819796557824,https://twitter.com/ayhedmasyee/status/642479819796557824
2015-09-11 23:28:19,nakhon224,,0,1,0,"Europe should expect 'millions and millions' more refugees from Syria: The UN official's claim that... http:// dailym.ai/1iCzxGq #dailymail",,,#dailymail,642479817389031424,https://twitter.com/nakhon224/status/642479817389031424
2015-09-11 23:27:50,24tebs,,0,0,0,"The world’s focus is on the refugee and migrant crisis in Europe . But millions of people are also on the move ... http:// bit.ly/1OI5gA7",,,,642479693438914560,https://twitter.com/24tebs/status/642479693438914560
2015-09-11 23:27:36,hgarbow,,0,0,0,"Islamists Start Radicalising Refugees as Soon as They Arrive in Europe http:// bit.ly/1Q6SKKU",,,,642479634378964992,https://twitter.com/hgarbow/status/642479634378964992
2015-09-11 23:27:31,BeisbolVENEZ,,0,0,0,"Weekend Roundup: Refugees Redefine Europe http:// goo.gl/sed4xx",,,,642479612845387776,https://twitter.com/BeisbolVENEZ/status/642479612845387776
