Date,Close,Polarity,Prediction,Subjectivity
2016-08-15,65.72,0.1852639130584799,0,0.4902603907035723
2016-08-16,65.71,0.19597254698028768,0,0.4651435757016792
2016-08-17,65.89,0.20836559743514596,0,0.4366571461120334
2016-08-18,65.95,0.22124773441802428,0,0.49697704268356435
2016-08-19,65.86,0.052760665731232656,0,0.553310414149804
2016-08-22,65.8,0.21934692950811358,0,0.4552712273107017
2016-08-23,65.77,0.16761508317966015,0,0.4716218725886406
2016-08-24,65.95,0.13988496071829404,0,0.47471941638608306
2016-08-25,66.07,0.16789466192243951,0,0.47308857551913114
2016-08-26,66.22,0.19964346103052244,0,0.450765592432259
2016-08-29,66.95,0.2203203198125073,0,0.45489711302211266
2016-08-30,67.5,0.0524849937870772,0,0.422996257215009
2016-08-31,67.5,0.06809783119194797,0,0.4049367449638212
2016-09-01,67.21,0.15933075212025422,0,0.44475753723589206
2016-09-02,67.49,0.3920358998540982,0,0.518826579456943
2016-09-06,67.44,0.06167391435054472,0,0.45058347076204225
2016-09-07,67.16,0.1854056980418712,0,0.4942109341620511
2016-09-08,67.25,0.18161239404679277,0,0.45743486528314775
2016-09-09,66.65,0.22593788363377912,0,0.4839405515711485
2016-09-12,67.06,0.21173409333388762,0,0.4313145358807228
2016-09-13,66.53,0.31914742995100087,0,0.5204308899717054
2016-09-14,66.4,0.33618588637801156,0,0.4845125032743638
2016-09-15,66.64,0.17199438893407823,0,0.4763813355984269
2016-09-16,65.82,0.0695061739654435,0,0.4685715890175166
2016-09-19,66.19,0.2597149369109541,0,0.4857724552003609
2016-09-20,66.46,0.10714937548598952,0,0.48860097652420387
2016-09-21,66.84,0.10894428175969169,0,0.48503376408404547
2016-09-22,67.39,0.22186092166763838,0,0.4640073497361189
2016-09-23,67.25,0.24624488626560642,0,0.5043043635108865
2016-09-26,65.78,0.1047034975606405,0,0.43740972651686866
2016-09-27,66.36,0.18450250737510349,0,0.4541953559261251
2016-09-28,66.71,0.19544441545557592,0,0.5061899471680317
2016-09-29,65.65,0.16103283913874192,0,0.44909690823579684
2016-09-30,66.59,0.12943395484438602,0,0.41343687207419644
2016-10-03,66.51,0.1064666975727064,0,0.4190460159791914
2016-10-04,66.6,0.1271277992355843,0,0.45683436518017423
2016-10-05,67.69,0.12832026626412363,0,0.5009339484952239
2016-10-06,67.87,0.18384698721417445,0,0.48408847055722093
2016-10-07,68.11,0.060058639176469655,0,0.5082249492910337
2016-10-10,68.64,0.16713097820534384,0,0.5300635640814209
2016-10-11,68.31,0.05939516394851767,0,0.4244506162311037
2016-10-12,68.13,0.06399606971975393,0,0.48208780985096883
2016-10-13,67.74,0.10845136431984798,0,0.492880373239118
2016-10-14,67.52,0.10286266511266552,0,0.5803149078485642
2016-10-17,67.17,0.19766545949358433,0,0.5167432091182088
2016-10-18,67.7,0.30276748938720627,0,0.6488567581471699
2016-10-19,68.35,0.2015864894502953,0,0.4901056948165164
2016-10-20,68.26,0.22796681254904913,0,0.4173673704463169
2016-10-21,68.49,0.003597477373189426,0,0.5158600756662456
2016-10-24,68.87,0.18021690314091185,0,0.48974228598127245
2016-10-25,68.8,0.13278963331515803,0,0.4554902569864404
2016-10-26,69.13,0.027932790097018795,0,0.6515828665645845
2016-10-27,69.23,-0.048886210124911025,0,0.689323319777865
2016-10-28,69.11,0.12616393033680265,0,0.5557974885634456
2016-10-31,69.26,0.19650006380082788,0,0.5059057197048463
2016-11-01,68.97,0.20931075500020735,0,0.5142578995079006
2016-11-02,68.68,0.06998515682252618,0,0.3873408259861138
2016-11-03,68.38,0.1790519670018697,0,0.46566519839866105
2016-11-04,67.76,0.22788863913863924,0,0.4648811444965289
2016-11-07,69.88,0.1988133651695811,0,0.48162922879589565
